,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
273,South Carolina,32,12,20,0.375,9.89,11.55,,2,16,,10,8,,1,10,,69.8,71.4,,40.3,23.2,54.2,0.427,6.69,21.2,0.316,16.8,23.5,0.715,10.1,34.4,12.7,5.66,2.94,12.4,16.1
274,South Carolina State,33,20,13,0.606,-4.62,-9.05,,11,3,,10,2,,7,10,,79.5,70.4,,40.3,27.3,58.4,0.468,7.09,19.6,0.362,17.8,25.1,0.709,12.4,35.3,15.6,9.48,3.52,14.2,21.1
275,South Carolina Upstate,32,6,26,0.188,-15.67,-2.7,,2,14,,4,10,,2,14,,74.8,83.5,,40,27.5,60.7,0.454,6.94,22.7,0.306,12.8,18.9,0.675,9.34,33.9,13.3,7.56,2.31,14.2,19.3
276,South Dakota,33,19,14,0.576,-5.69,-3.49,,9,7,,14,2,,4,11,,85.2,83.7,,40,28.7,63.8,0.45,7.88,24.6,0.321,20,28,0.714,11.9,35.7,11.6,7.55,3.33,9.61,18.6
277,South Dakota State,32,20,12,0.625,2.15,-1.82,,11,5,,13,1,,4,8,,79.6,73.5,,40,28.5,60.5,0.471,8.66,24.7,0.35,13.8,18.5,0.747,11.7,40.2,14.1,4.69,2.63,12.1,16.2
278,South Florida,32,13,19,0.406,-2.15,-0.18,,6,12,,9,6,,2,10,,74.4,74.5,,40.3,26.3,59.3,0.443,7.06,22.2,0.318,14.7,20.4,0.72,10.3,34.6,14.4,8.28,3.53,11.1,17.1
279,Southeast Missouri State,33,21,12,0.636,-4.84,-7.8,,15,5,,12,3,,8,7,,74,67,,40.3,27.3,59.8,0.456,7.33,22,0.333,12.1,16.7,0.722,8.42,33.1,13.6,8.15,3.61,10.7,18.1
280,Southeastern Louisiana,32,18,14,0.563,-4,-4.67,,12,8,,8,4,,9,8,,72.6,69.8,,40.3,25.8,57.9,0.444,6.09,18.5,0.329,15,20.1,0.749,10.9,35.8,11.8,6.94,2.31,11.7,17.2
281,Southern,32,20,12,0.625,-6.83,-7.9,,15,3,,11,1,,9,10,,74.8,68.3,,40.3,26.5,60.9,0.436,6.63,20.6,0.322,15.1,22.5,0.669,13,37.3,13,9.66,3.84,12.5,18.6
282,Southern California,35,17,18,0.486,12.97,10.86,,7,13,,12,7,,3,7,,76.7,74.6,,40.3,27.3,56.4,0.485,7.17,19.6,0.365,14.9,20.1,0.741,8.57,31.7,15.5,6.31,3.06,12.3,17.7
283,Southern Illinois,33,14,19,0.424,-2.22,1.07,,8,12,,7,8,,5,7,,72.9,74.5,,40.3,26.5,57.5,0.461,6.73,19.2,0.351,13.1,19.4,0.676,10.2,35.5,14.2,6.27,3,12.5,16.9
284,SIU Edwardsville ,34,22,12,0.647,-6.12,-7.44,,13,7,,12,3,,7,8,,71.6,66.5,,40.3,25.7,59.7,0.431,7.32,22,0.333,12.9,19.3,0.67,11.9,38.1,13.6,6.65,4.03,11.4,16.5
285,Southern Indiana,30,10,20,0.333,-13.86,-8.4,,5,15,,8,7,,2,13,,71.5,73.5,,40.5,25.5,59.7,0.428,7.2,20.5,0.351,13.2,18.1,0.731,10.5,35.8,11.4,6.7,2.87,11.7,17.2
286,Southern Methodist,35,24,11,0.686,14.35,5.72,,13,7,,13,6,,7,4,,79.9,71.3,,40,28.3,59.1,0.478,7.86,20.8,0.378,15.5,21.7,0.714,12.5,38.4,15.9,8.06,3.74,11.9,16.8
287,Southern Mississippi,33,11,22,0.333,-9.91,-3.33,,5,13,,9,6,,1,13,,71.3,76,,40.3,25.5,59.2,0.431,6.58,21.7,0.303,13.7,19.8,0.692,10.5,37.4,14.4,6.88,4.3,13.9,16.8
288,Southern Utah,31,12,19,0.387,-10.63,-2.13,,4,12,,8,7,,3,11,,69.8,73.7,,40,24.5,57.6,0.425,5.87,18.8,0.313,15,20.6,0.729,11,37.1,12,5.06,4.39,14.5,17.6
289,St. Bonaventure,34,22,12,0.647,2.92,0.07,,9,9,,12,4,,7,6,,68.6,65.2,,40.1,25.1,56.4,0.444,6.21,19.9,0.312,12.3,16.9,0.729,9.38,33.7,11,7.53,3.24,10.4,13.4
290,St. John's (NY) ,36,31,5,0.861,21.25,8.56,,18,2,,18,0,,8,2,,78.5,65.8,,40.6,29.3,65.7,0.445,6.14,20.4,0.301,13.8,19.9,0.691,14.9,41.3,15.7,8.89,5.17,10.9,16.7
291,St. Thomas,34,24,10,0.706,1.01,-4.51,,12,4,,14,0,,7,8,,83.1,74.8,,40.1,28.7,58.3,0.492,10.4,27,0.387,15.3,19.6,0.78,7.26,31.3,15.4,7.18,3.18,9.53,18
292,Stanford,35,21,14,0.6,8.78,6.07,,11,9,,17,3,,3,8,,73.5,70.7,,40,25.6,58.8,0.435,8.4,24.5,0.342,13.9,17.6,0.789,10.7,34.2,13.8,6.8,3.69,10.5,17.1
293,Stephen F. Austin,31,14,17,0.452,-8.01,-3.29,,7,13,,8,8,,6,9,,66.6,68.3,,40.5,24.4,57.8,0.422,6.16,21.3,0.29,11.7,18.5,0.633,13.1,37.6,12.5,8.32,4.19,15.6,16.6
294,Stetson,32,8,24,0.25,-16.7,-4.7,,6,12,,5,9,,3,11,,71.7,81.5,,40.3,25.2,56.6,0.445,7.28,21.4,0.34,14.1,19.1,0.735,8.44,33,11.8,5.16,3.09,13,14.7
295,Stonehill,32,15,17,0.469,-13.12,-9.55,,7,9,,11,3,,3,13,,68.7,70.1,,40,23.7,54.6,0.434,8.63,24.3,0.355,12.6,17.4,0.724,9,33.1,14.4,6.44,2.63,12.1,16.6
296,Stony Brook,32,8,24,0.25,-13.84,-4.42,,4,14,,5,9,,3,13,,66.5,74.1,,40,23.1,55.8,0.414,7.38,21.9,0.337,12.9,17.3,0.746,10.5,33.1,11.3,5.09,2.06,11.8,15.2
297,Syracuse,33,14,19,0.424,4.95,8.04,,7,13,,11,6,,2,9,,74.7,77.8,,40.9,27.2,59.5,0.457,6.39,19.5,0.328,13.9,19.7,0.705,11,37.1,13.6,4.88,2.52,12.6,16.4
298,Tarleton State,32,12,20,0.375,-10.31,-0.31,,7,9,,10,3,,1,14,,63.3,69.6,,40,21.8,50.4,0.432,4.13,12.8,0.324,15.6,21.3,0.733,9.47,30.3,10.6,9.38,3.59,17.6,19.1
299,TCU,32,16,16,0.5,10.49,11.64,,9,11,,14,3,,2,9,,67.6,68.7,,40.2,24.4,58.6,0.416,6.09,20.3,0.3,12.7,19.7,0.647,12,34.8,12.2,7.59,3.44,11.6,15.7
300,Temple,32,17,15,0.531,-0.24,-0.37,,9,9,,12,2,,3,9,,78.8,77.7,,40.9,26.3,58.6,0.448,6.75,18.7,0.362,19.5,26.5,0.736,11.2,36.4,10.8,6.41,3.72,11,18
301,Tennessee ,38,30,8,0.789,24.2,13.25,,12,6,,16,1,,6,5,,74,63.1,,40,25.4,56.3,0.452,8.24,24.4,0.338,14.9,20,0.745,11.5,36.4,15.4,6.92,4.76,10.4,15.2
302,Tennessee State,33,17,16,0.515,-8.01,-8.71,,12,8,,12,3,,4,10,,78.1,73.3,,40.9,27.5,59.5,0.463,6.64,20.4,0.325,16.4,24,0.681,13,40.5,13.3,7.18,3.85,15.3,18.9
303,Tennessee Tech,32,15,17,0.469,-11.09,-7.82,,10,10,,9,5,,5,10,,72.1,74.1,,40.3,25.3,58.6,0.432,9.66,27.4,0.352,11.8,17,0.698,8.66,34.7,15.2,6.34,2.75,11.6,13.3
304,Tennessee-Martin,33,14,19,0.424,-11.18,-8.18,,9,11,,8,5,,5,12,,74.4,71.9,,40.9,25.3,60.5,0.419,9.27,28.8,0.322,14.5,20.7,0.699,13.7,39.4,13.5,8.09,2.82,13.1,16.8
305,Texas ,35,19,16,0.543,15.65,9.79,,6,12,,11,7,,4,6,,78.5,72.6,,40.6,27.3,59.1,0.463,7.54,20.8,0.362,16.3,21.7,0.749,10.2,35.7,12.9,6.26,4.29,9.94,18.7
306,Texas A&M ,34,23,11,0.676,19.3,13.39,,11,7,,13,3,,5,5,,74.6,68.7,,40.3,25.2,60.3,0.418,6.97,22.7,0.307,17.2,24.9,0.692,16,41,11.9,7.56,4.03,12.2,17.5
307,Texas A&M-Corpus Christi,34,20,14,0.588,-0.99,-3.39,,12,8,,15,2,,4,11,,75.8,67.4,,40,28.5,58.1,0.49,5.85,17.1,0.343,13,20.6,0.631,11.2,36.5,15,7.88,3.56,12,17.7
308,Texas Southern,32,15,17,0.469,-10.27,-8.23,,12,6,,9,4,,6,12,,72.7,72.1,,40.3,26.4,61.7,0.429,7.28,21.8,0.334,12.5,17.3,0.722,11.5,37.5,13.7,8.56,3.41,13.9,16.8
309,Texas State,32,16,16,0.5,-3.6,-3.77,,9,9,,10,4,,4,10,,76.2,73.3,,40.9,27.1,58.4,0.464,5.94,16.2,0.367,16.1,21.3,0.756,12.2,37,14.5,7.09,4.03,12.3,18.3
310,Texas Tech ,37,28,9,0.757,23.05,10.62,,15,5,,15,3,,8,2,,80.9,68.5,,40.7,28.6,61.5,0.466,10,27.3,0.367,13.6,17.9,0.76,11.8,37.1,16.4,6.27,3.11,9.62,15.7
311,Texas-Rio Grande Valley,31,16,15,0.516,-6.05,-3.38,,8,12,,12,4,,2,11,,76.7,74,,40,28.1,63.4,0.444,10.6,32.2,0.329,9.87,14,0.707,11.8,37.6,17.2,7.58,2.81,13.5,16.5
312,The Citadel,30,5,25,0.167,-18.37,-4.49,,0,18,,5,12,,0,12,,66.6,75,,40.5,23.5,56.2,0.419,7.53,25.5,0.295,12,19.4,0.617,10.6,34.4,12.3,6,2.03,12.5,16.1
313,Toledo,33,18,15,0.545,-6.03,-2.78,,10,8,,9,4,,6,9,,78.9,80.2,,40.2,28.4,61.2,0.464,5.85,17.4,0.336,16.2,21.7,0.75,10.8,34,13.3,5.39,2.76,9.39,15.8
314,Towson,33,22,11,0.667,-1.92,-3.57,,16,2,,12,1,,9,5,,70,66.7,,40.5,25.3,60.2,0.421,7.67,22.7,0.337,11.6,17.1,0.682,13.1,36.8,10.6,6.45,3.33,9.36,16
315,Troy ,34,23,11,0.676,3.55,-2.1,,13,5,,11,4,,9,6,,73.4,65.7,,40,25,57.5,0.436,7.68,25.8,0.297,15.6,21.8,0.718,13.9,38.6,13.9,9.44,4.62,13.5,16.5
316,Tulane,34,19,15,0.559,1.24,-0.73,,12,6,,14,3,,4,7,,74.5,70.4,,40.1,25.7,56.9,0.451,7.68,22.5,0.341,15.4,20.4,0.757,9.21,34.6,14.7,7.35,4.44,10.9,17.1
317,Tulsa,33,13,20,0.394,-5.93,-1.9,,6,12,,8,9,,3,8,,71.3,73.6,,40.6,25.1,57.9,0.434,7.94,24.6,0.322,13,19.5,0.667,9.73,35.7,13.6,6.12,2.73,11.4,15.6
318,UAB,37,24,13,0.649,4.7,-0.1,,13,5,,14,4,,7,6,,82.2,76.3,,40.3,30,65.9,0.456,6.57,19.4,0.338,15.5,20.4,0.764,14.5,40.1,16.1,6.7,4.19,9.95,15.5
319,UC Davis,32,15,17,0.469,-6.41,-1.51,,9,11,,8,6,,7,10,,68,70.3,,40.2,23,55.8,0.413,6.34,19.5,0.325,15.6,20.9,0.743,10.2,33,11.1,7.88,3.59,13.3,18
320,UC Irvine,39,32,7,0.821,7.6,-0.8,,17,3,,13,2,,14,3,,75.9,67,,40.6,26.1,57.4,0.454,7.13,20.1,0.355,16.7,21,0.794,9.26,38.3,15.7,6.56,3.44,12.7,15.6
321,UC Riverside,34,21,13,0.618,-1.47,0.38,,14,6,,14,1,,7,11,,74.8,75,,40.6,26.6,62.3,0.426,9,26.7,0.337,12.6,16.7,0.756,12.4,37.2,13.2,5.47,2.41,11.2,18
322,UC San Diego ,35,30,5,0.857,12.63,-1.92,,18,2,,13,2,,12,2,,79.3,61.8,,40,27.3,58.8,0.464,10.7,29.6,0.362,14.1,18.9,0.746,9.11,34,15.7,9.86,2.11,8.71,16.5
323,UC Santa Barbara,34,21,13,0.618,0.28,-3.5,,11,9,,12,5,,7,7,,74.3,68.8,,40,25.7,55.6,0.463,10,26.3,0.381,12.9,16.8,0.764,8.91,33.9,14.9,6.03,3.12,12.2,16.8
324,UCF,37,20,17,0.541,10.59,11.22,,7,13,,13,5,,2,8,,79.8,80.4,,40.7,26.8,62.9,0.426,8.86,26.2,0.338,17.3,22.4,0.775,12.2,36.9,13.9,7.59,4.41,12.2,17.2
325,UCLA ,34,23,11,0.676,19.68,10.71,,13,7,,15,2,,5,5,,74.2,65.2,,40,26.7,57.6,0.464,7.41,21,0.352,13.2,18.6,0.71,10.8,32.6,16.3,8.09,3.15,10.6,17.2
326,UNC Asheville,32,21,11,0.656,-5.36,-4.71,,11,5,,13,1,,6,9,,82.2,76.6,,40.5,29.4,62.3,0.473,7.97,22.9,0.348,15.3,21.4,0.716,11.3,35.2,14,7.5,4.19,10.4,19.3
327,UNC Greensboro,32,20,12,0.625,-0.99,-4.13,,13,5,,11,3,,8,6,,72.9,65.4,,40,25.6,57.8,0.442,9.19,24.7,0.372,12.6,17.1,0.735,10.9,36.7,13,6,2.84,9.88,16.2
328,UNC Wilmington ,35,27,8,0.771,2.36,-3.95,,14,4,,15,3,,9,4,,79.2,70.3,,40.4,27.7,59.1,0.47,7.29,21.7,0.336,16.4,21.9,0.75,12.5,38.8,15.4,6.4,3.43,11,16.7
329,UT Arlington,31,13,18,0.419,-5.55,-2.83,,6,10,,9,4,,3,11,,74.3,74.8,,40.5,25.8,57.8,0.446,8.68,24.5,0.354,14,21.2,0.661,11.6,36.5,14.1,5.94,3.19,13.5,18
330,Utah,33,16,17,0.485,11.44,8.5,,8,12,,15,4,,1,9,,75.5,72.6,,40.2,26.5,59.4,0.446,8.52,26.1,0.327,14,21.8,0.641,12.6,39.8,17.4,6.39,3.64,12.4,18.5
331,Utah State ,34,26,8,0.765,13.56,5.35,,15,5,,15,2,,7,4,,79.9,70,,40,28,57.9,0.484,8.82,24.8,0.356,15,21.4,0.702,11.6,34.6,17.1,8.56,2.76,10.7,18.1
332,Utah Tech,33,7,26,0.212,-10.29,-1.65,,2,14,,5,8,,0,16,,69.8,76,,40.2,24.5,57.8,0.425,7.45,22.4,0.333,13.3,19.2,0.695,10.1,33,12.7,6.45,3.21,12.6,19.2
333,Utah Valley,34,25,9,0.735,1.91,-3.31,,15,1,,12,0,,10,7,,76,68.3,,40.3,26.8,57.3,0.468,6.03,18,0.335,16.3,23.7,0.689,10.9,38.2,15.6,6.65,5.62,12.2,16.5
334,UTEP,33,18,15,0.545,-0.63,0.34,,7,11,,11,5,,4,8,,72.5,70.8,,40.2,25,56.9,0.439,7.3,20.8,0.351,15.2,21.2,0.715,8.94,31.2,13.2,10.2,3,11.8,18.1
335,UTSA,31,12,19,0.387,-2.55,0.52,,6,12,,7,7,,4,11,,76.7,76.8,,40.3,26.3,62.2,0.423,9.94,27.5,0.361,14.1,17.8,0.792,10.7,32.4,12.7,9.48,3.45,10.9,18.2
336,Valparaiso,34,15,19,0.441,-2.9,-0.12,,6,14,,10,7,,3,10,,74.7,73.9,,40.4,25.7,60.1,0.427,7.74,23,0.336,15.6,19.7,0.79,10,34.5,12,5.85,3.74,9.74,16.4
337,Vanderbilt ,33,20,13,0.606,14.66,10.05,,8,10,,14,3,,3,7,,78.9,74.3,,40.2,27.7,61.6,0.45,8.09,24.9,0.325,15.4,20.6,0.746,11.5,34.7,13.9,8.94,3.91,10.2,17.9
338,Vermont,33,21,12,0.636,-8.06,-7.61,,13,3,,13,3,,7,8,,66.6,63.8,,40,23.5,54.2,0.434,7.76,23.5,0.33,11.8,16.5,0.72,8.82,34.1,12.1,5.58,4.45,11.2,13.7
339,Villanova,36,21,15,0.583,13.28,7.45,,11,9,,14,3,,3,8,,74,68.2,,40.1,25.7,56,0.46,9.56,24.5,0.39,13,16.3,0.796,9.56,34.2,12.4,5.64,2.33,9.78,15.7
340,Virginia,32,15,17,0.469,5.71,7.71,,8,12,,10,7,,4,7,,64.8,66.8,,40,23.1,51.8,0.446,8.31,22.2,0.375,10.3,13.7,0.753,6.75,29.3,14.7,5.5,3.75,10.1,15.3
341,Virginia Commonwealth ,35,28,7,0.8,14.45,1.3,,15,3,,15,1,,7,3,,76.9,62.9,,40.1,26.5,59.7,0.445,9.63,28.6,0.336,14.2,19.1,0.743,13.2,38.2,15,8.06,5.43,11.3,18.1
342,VMI,34,15,19,0.441,-11.25,-4.88,,7,11,,7,7,,5,10,,73.3,73.1,,40.1,24.5,57.5,0.426,8.91,27.4,0.325,15.4,20.2,0.761,9.97,34.7,12.6,7.91,2.62,12,16.1
343,Virginia Tech,32,13,19,0.406,2.62,6.62,,8,12,,8,9,,5,5,,69.2,73.2,,40.5,24.5,55.6,0.442,7.88,22.5,0.35,12.2,17.1,0.714,10.2,33.3,12.6,5.44,1.94,13.4,17
344,Wagner,30,14,16,0.467,-15.75,-10.29,,6,10,,8,6,,6,10,,62.5,60.6,,40.5,22.1,54.5,0.406,6.9,20.7,0.334,11.4,16.1,0.706,11.3,34.9,12.6,7.07,1.57,11.8,17.1
345,Wake Forest,32,21,11,0.656,9.63,7.47,,13,7,,13,3,,6,6,,70.2,68,,40,24.7,55.7,0.443,5.59,19.6,0.285,15.2,20.1,0.756,8.88,33.2,11.3,7.19,3.94,11.3,16.5
346,Washington,31,13,18,0.419,6.26,10.76,,4,16,,9,9,,2,9,,71.6,75.5,,40.3,25.4,57.1,0.445,7.03,20.4,0.344,13.7,20.1,0.682,9.55,32.6,12.9,6.45,3.87,12,18.4
347,Washington State,34,19,15,0.559,4.67,4.32,,8,10,,10,4,,4,7,,78.9,78.6,,40.1,28.5,58,0.491,8.68,23.9,0.362,13.3,19,0.701,9.91,34.2,16.9,6.41,4.85,14.6,19
348,Weber State,34,12,22,0.353,-9.64,-3.16,,5,13,,5,10,,4,11,,71.9,71.9,,40.3,25.5,56,0.455,7.41,21.4,0.347,13.5,19.2,0.703,8.5,33.5,11.4,6.5,2.41,11,17.8
349,West Georgia,31,6,25,0.194,-15.57,-4.5,,4,14,,4,8,,2,15,,69,78.3,,40,25.9,59.6,0.435,5.42,18,0.302,11.8,17,0.693,9.52,32.8,13.5,6.97,2.97,11.3,15.9
350,West Virginia,32,19,13,0.594,14.89,11.54,,10,10,,13,4,,4,7,,68.2,64.8,,40.6,24.4,57.6,0.425,8.66,26.5,0.326,10.6,14.8,0.72,9,33.3,13.8,7.56,4.09,10.8,16.6
351,Western Carolina,30,8,22,0.267,-15.83,-2.35,,4,14,,7,7,,1,14,,69.7,79,,40.5,24,60.9,0.394,9.07,29.7,0.305,12.6,16.9,0.746,10.3,38.4,12.1,5.27,3.1,14,17
352,Western Illinois,31,12,19,0.387,-15.22,-8.5,,6,14,,8,7,,4,11,,68.7,71.3,,40.3,25,56.7,0.44,8,21.3,0.375,10.8,15.6,0.692,10.2,34.8,10.2,5.42,3.74,12,14.3
353,Western Kentucky,32,17,15,0.531,-0.5,1,,8,10,,13,5,,4,9,,74.8,74.8,,40.2,26.3,62.4,0.422,8.19,24.9,0.329,14,19.3,0.724,9.28,37.1,11.9,8.09,2.66,11,18.3
354,Western Michigan,32,12,20,0.375,-9.55,-4.17,,9,9,,6,9,,6,10,,72.1,76,,40,26.6,62.3,0.426,5.94,20.7,0.287,12.9,19.3,0.672,13.2,37.8,12.4,6.94,2.34,11,17.9
355,Wichita State,34,19,15,0.559,2.29,1.81,,8,10,,11,6,,5,7,,74,73.1,,40.3,26.7,60,0.445,5.18,17,0.305,15.4,21.1,0.728,11.7,38.6,11.8,6.74,4.44,11.6,15.3
356,William & Mary,32,17,15,0.531,-6.26,-4.26,,11,7,,12,2,,4,11,,77.7,76.4,,40,26.3,58.1,0.453,10.5,30,0.35,14.6,20.2,0.723,9.31,34.4,16.5,7.25,1.81,12.7,17.8
357,Winthrop,34,23,11,0.676,-1.68,-4.17,,11,5,,16,2,,5,8,,84.7,78,,40.4,28.8,60.7,0.474,8.09,23.6,0.342,19.1,28.5,0.668,12.4,38.6,12.9,7.94,3.35,13.1,19.8
358,Wisconsin ,37,27,10,0.73,20.73,11.49,,13,7,,14,3,,6,5,,80.1,70.9,,40.1,26.8,59,0.454,9.89,28.4,0.348,16.6,20.2,0.826,9.38,36.5,14.5,5.14,2.35,9.62,16.5
359,Wofford ,35,19,16,0.543,-0.13,-2.34,,10,8,,7,6,,8,8,,74.9,70,,40.3,26.7,59.1,0.452,9.71,28.3,0.343,11.8,17.9,0.66,12.9,38.2,15,5.97,2.51,10.9,16.9
360,Wright State,33,15,18,0.455,-4.89,-3.79,,8,12,,11,4,,3,12,,77.3,76.4,,40.5,28.8,58.4,0.494,8.45,22,0.384,11.2,15.8,0.706,9.3,34.5,15.2,5.7,3.12,12.2,16.8
361,Wyoming,32,12,20,0.375,-0.67,4.21,,5,15,,8,7,,3,10,,67.2,71.2,,40.2,24.3,55.6,0.438,7.59,22.2,0.342,10.9,16.7,0.652,10.5,34.8,11.7,4.41,2.78,12.9,19.3
362,Xavier ,34,22,12,0.647,15.25,8.72,,13,7,,15,2,,5,7,,78.1,71.6,,40.3,26.6,57,0.467,8.38,21.4,0.391,16.5,20.9,0.789,7.76,33.3,16.7,7.74,2.53,10.9,15.7
363,Yale ,30,22,8,0.733,6.66,-3.1,,13,1,,11,0,,7,6,,81.3,70.1,,40,29.9,61,0.49,7.63,19.7,0.387,13.9,19.1,0.729,11,38.4,16.4,5.77,3.6,10.1,16.3
364,Youngstown State,34,21,13,0.618,-3.85,-4.98,,13,7,,10,5,,9,6,,76.4,71.9,,40.3,26,59.6,0.436,8.79,27.5,0.32,15.6,21.4,0.733,11.1,36.5,13.8,6.94,5.26,12.2,18.4
